ZipCode,median_household_income_last_12,Year
94133,50378,2013
94134,57075,2013
94158,68214,2013
94301,135817,2013
94303,73895,2013
94304,101316,2013
94305,60682,2013
94306,112230,2013
94401,72452,2013
94402,109093,2013
94403,89205,2013
94404,112271,2013
94501,69572,2013
94502,113650,2013
94503,83176,2013
94505,102328,2013
94506,166335,2013
94507,150457,2013
94508,66912,2013
94509,55018,2013
94510,90539,2013
94511,30409,2013
94512,95521,2013
94513,87486,2013
94514,70783,2013
94515,56786,2013
94516,85833,2013
94517,124042,2013
94518,71770,2013
94519,70773,2013
94520,46565,2013
94521,79040,2013
94523,79128,2013
94525,76278,2013
94526,121462,2013
94528,153860,2013
94530,83472,2013
94531,93113,2013
94533,57469,2013
94534,97934,2013
94535,56667,2013
94536,84840,2013
94538,81408,2013
94539,138578,2013
94541,54943,2013
94542,84649,2013
94544,61291,2013
94545,67975,2013
94546,72128,2013
94547,94653,2013
94548,61875,2013
94549,132802,2013
94550,101448,2013
94551,93427,2013
94552,134256,2013
94553,73426,2013
94555,108791,2013
94556,123974,2013
94558,69783,2013
94559,58808,2013
94560,81777,2013
94561,77435,2013
94563,157400,2013
94564,80042,2013
94565,55614,2013
94566,118306,2013
94567,56420,2013
94568,111545,2013
94569,91429,2013
94571,57599,2013
94572,65984,2013
94573,59783,2013
94574,79806,2013
94575,,2013
94576,71250,2013
94577,62539,2013
94578,52512,2013
94579,66489,2013
94580,70208,2013
94582,135818,2013
94583,115551,2013
94585,71050,2013
94586,74375,2013
94587,82634,2013
94588,120432,2013
94589,59967,2013
94590,43944,2013
94591,76019,2013
94592,72917,2013
94595,61209,2013
94596,79181,2013
94597,83036,2013
94598,117229,2013
94599,68889,2013
94601,36949,2013
94602,71213,2013
94603,39045,2013
94605,54210,2013
94606,37985,2013
94607,34091,2013
94608,52934,2013
94609,47049,2013
94610,71656,2013
94611,100667,2013
94612,26213,2013
94613,,2013
94618,113523,2013
94619,73938,2013
94621,32628,2013
94702,55581,2013
94703,52000,2013
94704,33066,2013
94705,90645,2013
94706,73330,2013
94707,129688,2013
94708,140863,2013
94709,56670,2013
94710,45125,2013
94720,24010,2013
94801,42636,2013
94803,71626,2013
94804,50346,2013
94805,63507,2013
94806,52354,2013
94850,,2013
94901,70296,2013
94903,82631,2013
94904,98638,2013
94920,138068,2013
94922,29955,2013
94923,74563,2013
94924,65341,2013
94925,106541,2013
94928,56988,2013
94929,153490,2013
94930,99015,2013
94931,64670,2013
94933,74309,2013
94937,52798,2013
94938,90167,2013
94939,91408,2013
94940,35156,2013
94941,105935,2013
94945,82380,2013
94946,128125,2013
94947,81889,2013
94949,81505,2013
94950,-2500,2013
94951,95272,2013
94952,75666,2013
